"listing_id","seller_source","seller_type","make","model","trim_generation","year","price_mga","price_raw","currency_original","price_type","negotiable","mileage_km","mileage_raw","fuel","transmission","drivetrain","engine","seats","options_summary","condition_notes","location","contact","include_in_estimation","duplicate_group","data_confidence","extraction_notes"
"2026-05-06-eve-001","One Kiala (FB sponsorisé)","revendeur","BMW","X1","xDrive20d 2021 sortie LANDIS","2021","180000000","180.000.000 Ariary","MGA","asking","true","27000","27 000 kms réels (évolutifs)","diesel","automatic","awd","2.0L Turbo Diesel 190ch 400Nm","5","Boîte Steptronic 8 rapports avec palettes au volant; mode ECO/SPORT; démarrage sans clé Start/Stop; cuir Nappa premium; sièges chauffants; LED; caméra et radar de recul; CarPlay/Android Auto; éclairage ambiance 4 couleurs; clim bi-zone","Excellent état. Sortie concessionnaire LANDIS. Coffre 505L. Papiers en règle. Entretien à jour aucun frais à prévoir.","Antananarivo","032 90 451 32","true","","high","Annonce sponsorisée FB; specs détaillées; année + km confirmés; sortie concessionnaire LANDIS"
"2026-05-06-eve-002","Coin AuToMoTo Mada (Tommy Fabio)","revendeur","Volkswagen","Polo","4 Phase 2","2008","135000000","135.000.000 fmg","FMG","asking","true","","","diesel","manual","fwd","1.4 TDI","5","Jantes alu origine; clim A/C; détecteur de recul; ISOFIX; antibrouillard; autoradio origine","Occasion Belgique. Modèle n1 à jour. Accessoire complet.","By Pass Mora Tôle (Antananarivo)","0341451444 / 0327304147","true","","medium","Prix en FMG → script convertira en MGA (27M Ar attendus)"
"2026-05-06-eve-003","Varotra fiara avy any Korea (FB sponsorisé)","revendeur","Hyundai","i30","BVM sport","2014","36000000","36.000.000 ar","MGA","asking","false","","","diesel","manual","fwd","","5","BVM sport","Occasion Corée du Sud (import). Manakambahiny.","Manakambahiny Antananarivo","0326859836 / 0340112346","true","varotra-korea-2026-05-06","medium","Post groupé: 4 véhicules dans le même post FB; tous diesel import Corée"
"2026-05-06-eve-004","Varotra fiara avy any Korea (FB sponsorisé)","revendeur","Hyundai","i30","BVA Full Option","2012","36000000","36.000.000 ar","MGA","asking","false","","","diesel","automatic","fwd","","5","Full Option; BVA","Occasion Corée du Sud (import). Manakambahiny.","Manakambahiny Antananarivo","0326859836 / 0340112346","true","varotra-korea-2026-05-06","medium","Post groupé: 4 véhicules; même prix que i30 BVM sport 2014 (équivalence vendeur)"
"2026-05-06-eve-005","Varotra fiara avy any Korea (FB sponsorisé)","revendeur","Chevrolet","Captiva","4x4 Full Option 7 places","2015","40000000","40.000.000 ar","MGA","asking","false","","","diesel","automatic","4x4","","7","Full Option; 4x4; 7 places","Occasion Corée du Sud (import). Manakambahiny.","Manakambahiny Antananarivo","0326859836 / 0340112346","true","varotra-korea-2026-05-06","medium","Post groupé: 4 véhicules import Corée"
"2026-05-06-eve-006","Varotra fiara avy any Korea (FB sponsorisé)","revendeur","Chevrolet","Captiva","Full Option 7 places","2012","37000000","37.000.000 ar","MGA","asking","false","","","diesel","automatic","4x4","","7","Full Option; 7 places","Occasion Corée du Sud (import). Manakambahiny.","Manakambahiny Antananarivo","0326859836 / 0340112346","true","varotra-korea-2026-05-06","medium","Post groupé: 4 véhicules import Corée"
"2026-05-06-eve-007","VAROTRA FIARA MAIKA VOLA (Hrv Mamy Hr)","revendeur","Kia","Soul","Full Option","2011","115000000","PRIX MORA 115M.FMG","FMG","asking","true","131000","131***KM REEL","petrol","manual","fwd","1.6L essence","5","Full Option; démarrage Start/Stop; toit ouvrant; vitres électriques","Immatriculation TBL.","By Pass (Antananarivo)","0340549773","true","","medium","Prix en FMG → script convertira (23M Ar attendus). Transmission manuelle inférée; à confirmer (toit ouvrant + start/stop sur Soul 2011 = pack EX)"
"2026-05-06-eve-008","Prestige Occasion (FB)","mandataire","Hyundai","i30","Fastback N Pack Performance 2.0T-GDi 280 BVM6","2021","184800000","184.800.000Ar","MGA","asking","false","17696","17.696km (certifié avec carnet d'entretiens)","petrol","manual","fwd","2.0L 4 cylindres 280ch 392Nm turbo","5","Pack Performance N; BVM 6 vitesses; traction 4x2; carnet d'entretien certifié","Importée neuve d'Allemagne. Première main. 7,8L/100km.","Antananarivo","+971 55 139 2730 (UAE/WhatsApp mandataire)","true","","high","Mandataire basé Dubai (n° UAE); km très bas (17.7k); modèle sportif Hyundai N premium; type haute valeur"
"2026-05-06-eve-009","VAROTRA FIARA MAIKA VOLA (One Kiala)","revendeur","GAC","GS8","4x4 Sortie Rassera Luxe 7 places","2023","85000000","85.000.000ariary","MGA","asking","false","51000","51.000kms","petrol","automatic","4x4","2.0L Turbo Essence (Auto 6 rapports)","7","4WD modes Eco/Sport/Neige/Tout-terrain; cuir premium 7 places blanc; sièges chauffants/ventilés; clim bi-zone; éclairage ambiance; caméra 360°HD; sono 10HP; CarPlay/AndroidAuto; chargeur sans fil; toit panoramique; régulateur adaptatif; freinage urgence; maintien voie; 6 airbags","SUV haut de gamme.","Antananarivo","0329045132","true","","high","GAC = marque chinoise; modèle GS8 hors MODEL_PROXIMITY actuel; à flagger pour future extension catalogue/engine"
"2026-05-06-eve-010","Vé.Ha.Té (FB)","revendeur","Chevrolet","Captiva","2 (modèle numéro 1)","2013","36000000","36 000 000 Ariary (180 millions FMG)","MGA","asking","true","","","diesel","automatic","fwd","Diesel (Boîte automatique 6 rapports)","7","Boîte auto 6 rapports; toit ouvrant; intérieur cuir; clim","Modèle numéro 1 à jour. Visible sur RDV.","Antananarivo","034 93 506 87","true","","medium","Annonce affiche les 2 prix → on prend Ar (vendeur a fait le calcul)"
