listing_id,seller_source,seller_type,make,model,trim_generation,year,price_mga,price_raw,currency_original,price_type,negotiable,mileage_km,mileage_raw,fuel,transmission,drivetrain,engine,seats,options_summary,condition_notes,location,contact,include_in_estimation,duplicate_group,data_confidence,extraction_notes
ANX-MKT-0200,Facebook,Particulier Facebook,Toyota,Hilux,2.8 D-4D,2019,125000000,125M Ar,MGA,private_market,False,85000,85000 km,Diesel,Automatique,,,,,1ère main: NC; Carnet: Oui; Exemple de ligne; État: Bon,Antananarivo,Nom du vendeur,True,,medium,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0201,,Particulier Facebook,Toyota,Hilux,Revo 5L,2021,160000000,160M Ar,MGA,private_market,False,145000,145000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0202,,Particulier Facebook,Toyota,Land Cruiser,100,2007,145000000,145M Ar,MGA,private_market,False,190000,190000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0203,,Particulier Facebook,Toyota,RAV4,phase I,1996,17000000,17M Ar,MGA,private_market,False,200000,200000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0204,,Particulier Facebook,Nissan,NP300,,2011,40000000,40M Ar,MGA,private_market,False,180000,180000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0205,,Particulier Facebook,Nissan,Navara,,2008,34000000,34M Ar,MGA,private_market,False,190000,190000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0206,,Particulier Facebook,Nissan,Pathfinder,,2011,30000000,30M Ar,MGA,private_market,False,180000,180000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0207,,Particulier Facebook,Nissan,Xtrail,,2002,25000000,25M Ar,MGA,private_market,False,150000,150000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0208,,Particulier Facebook,Nissan,Quashqai,,2015,65000000,65M Ar,MGA,private_market,False,100000,100000 km,Diesel,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0209,,Particulier Facebook,Nissan,Patrol,Y61,2006,140000000,140M Ar,MGA,private_market,False,180000,180000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0210,,Particulier Facebook,Suzuki,Jimny,3p,2021,115000000,115M Ar,MGA,private_market,False,45000,45000 km,Diesel,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0211,,Particulier Facebook,Suzuki,Jimny,5p,2021,118000000,118M Ar,MGA,private_market,False,60000,60000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0212,,Particulier Facebook,Suzuki,Swift,,2012,65000000,65M Ar,MGA,private_market,False,110000,110000 km,Essence,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0213,,Particulier Facebook,Kia,picanto,,2008,36000000,36M Ar,MGA,private_market,False,180000,180000 km,Essence,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0214,,Particulier Facebook,Kia,sorento,I,2008,28000000,28M Ar,MGA,private_market,False,145000,145000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0215,,Particulier Facebook,Kia,sorento,II,2012,33000000,33M Ar,MGA,private_market,False,155000,155000 km,Diesel,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0216,,Particulier Facebook,Kia,sorento,III,2015,37000000,37M Ar,MGA,private_market,False,130000,130000 km,Diesel,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0217,,Particulier Facebook,Kia,sorento,IV,2018,47000000,47M Ar,MGA,private_market,False,100000,100000 km,Diesel,Automatique,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0218,,Particulier Facebook,Kia,Rio,I,2006,26000000,26M Ar,MGA,private_market,False,160000,160000 km,Essence,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0219,,Particulier Facebook,Kia,Rio,II,2010,31000000,31M Ar,MGA,private_market,False,135000,135000 km,Essence,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
ANX-MKT-0220,,Particulier Facebook,Kia,Pride,II,2011,35000000,35M Ar,MGA,private_market,False,145000,145000 km,Essence,Manuelle,,,,,,Antananarivo,,True,,low,Imported from template_simple_occasions_autonex 2026-05-05; ami AutoNex
