listing_id,seller_source,seller_type,make,model,trim_generation,year,price_mga,price_raw,currency_original,price_type,negotiable,mileage_km,mileage_raw,fuel,transmission,drivetrain,engine,seats,options_summary,condition_notes,location,contact,include_in_estimation,duplicate_group,data_confidence,extraction_notes
ANX-MKT-0001,Akbaraly Akbaraly,Particulier Facebook,JAC,B18,,,19900000,19 900 000 Ar / 99 500 000 Fmg,MGA,asking,False,80000,80 000 km,Essence,Manuelle (probable),,,7,"5 portes, cuir beige, clim, direction assistée, vitres électriques, fermeture centralisée, radio, commandes au volant, jantes alu","Familiale, bon état apparent",,032 78 154 10,True,,medium,Année non indiquée
ANX-MKT-0002,Stevy Marcus,Particulier Facebook,Toyota,Land Cruiser,LC79,2024,210000000,210 000 000 Ar,MGA,asking,True,32000,32.xxx km,Diesel,Manuelle,4x4,V8 turbo diesel,,"4 vitres électriques, intérieur cuir, double pont rigide, diff lock, jantes alu, pneus neufs","État impeccable, aucun souci, 0 dépense à prévoir",,038 46 056 62,True,,high,
ANX-MKT-0003,Rojo Marc Charly,Particulier Facebook,Nissan,Navara,,2006,38000000,38 millions Ariary,MGA,asking,True,173000,173 000 km évolutif,Diesel,Automatique,,2.5L DCI,,"Radio d'origine, intérieur d'origine, 4 vitres électriques, 4 jantes alu, canopy",,,034 19 804 84,True,,high,
ANX-MKT-0004,Mirants Fiara,Revendeur Facebook,Toyota,Land Cruiser Prado,150 TXL,,185000000,925 000 000 FMG,FMG,asking,True,,,,Automatique,,,,Full options,Très bon état mécanique et carrosserie,,034 527 2959,True,,medium,Année non indiquée
ANX-MKT-0005,Particulier Facebook,Particulier Facebook,Suzuki,Swift,,2014,25000000,25M Ariary,MGA,asking,False,,,Essence,Automatique,,,,Jantes alu,Parfait état annoncé,,038 111 6628,True,,medium,
ANX-MKT-0006,Asm Mada Motors 2.0,Revendeur Facebook,Toyota,RAV4,,2023,110000000,110M Ar (info utilisateur),MGA,asking,True,89000,89 000 km réel,Essence,Automatique,,2.0 essence 16v,,"Toutes options, caméra de recul",,,034 74 083 44,True,rav4_2023_asm,high,Prix corrigé par utilisateur; très légèrement négociable selon revendeur
ANX-MKT-0007,Afera Milay,Particulier Facebook,DS Automobiles,DS 6,,,50000000,50 millions Ariary,MGA,asking,True,,,,,,,,Full options,Urgent,,038 428 5727,True,,medium,Année non indiquée
ANX-MKT-0008,Marcketing Car / Sera Rehetra,Particulier Facebook,Peugeot,206,CC,,9200000,46 millions FMG,FMG,asking,False,,,Diesel,,,P206cc diesel économique,,"Vitres électriques, verrouillage centralisé, jantes alu",Fiara mande tsara,Antananarivo-Sud,034 838 9112,True,,medium,
ANX-MKT-0009,Varotra Fiarakodia Mada,Particulier Facebook,Nissan,Navara,XE,2024,120000000,120 000 000 Ar / 600 000 000 FMG,MGA,asking,True,28000,28 000 km,Diesel,Manuelle,4x4,2.3L Turbo,,"Jantes noires, marchepieds, barres de toit, vitres teintées, clim, caméra de recul, benne robuste","Très bon état, faible km",Antananarivo,034 93 506 87,True,,high,
ANX-MKT-0010,Romi Ral,Particulier Facebook,Peugeot,306,,,10000000,50 M FMG,FMG,asking,False,,,Essence,,,Moteur TU,,"Transmission et train vérifiés, tableau OK",,,034 70 137 18 / 032 42 277 53,True,,medium,Année non indiquée
ANX-MKT-0011,Vidy Varotra,Particulier Facebook,Toyota,Land Cruiser,VX 100 Phase 2,2007,120000000,120 millions Ar / 600 millions FMG,MGA,asking,False,,,Diesel,Manuelle,,4.2 TD,,"Clim d'origine, écran Android, cool box/frigo, diff lock, sub, siège bouton électrique",Mécanique impeccable; suspension tsotra,,038 13 153 22,True,,high,
ANX-MKT-0012,Andrindimby Mandimby,Particulier Facebook,Hyundai,Avante,S16,,22000000,22 million Ar / 110 million FMG,MGA,asking,False,,,,,,,,,Moteur mbola milamina tsara; numéro étranger,,033 587 4911,True,,low,"Année, carburant et boîte non indiqués"
ANX-MKT-0013,Particulier Facebook,Particulier Facebook,Kia,Sorento,Phase 4,2013,47500000,47 500 000 Ar,MGA,asking,False,,,Diesel,Automatique,,CRDi,,"BVA 6, full option sauf toit, cuir impeccable, clim","Rien à prévoir, très propre, vidange faite avec carnet d'entretien, 4 pneus neufs",,034 96 648 03,True,,high,
ANX-MKT-0014,Lafatra Ranaivoson / Varotra Fiarakodia Mada,Particulier Facebook,Nissan,Pickup,4x4 Belgique,,53000000,265 M FMG à débattre (commentaire),FMG,asking,True,,,Diesel,,4x4,2.5 DI Turbo Intercooler,,4 vitres électriques,Très bon état,,034 176 6977,True,,medium,Prix vu dans un commentaire; année non indiquée
ANX-MKT-0015,Boy Tony,Particulier Facebook,BYD,F0,5 portes,,,60M (currency unclear),UNKNOWN,asking,False,,,Essence (probable),,,,,"Toutes options, 4 jantes alu",Maika vola,,033 584 8486,False,,low,Prix 60M sans devise; probablement FMG mais non confirmé; exclu estimation
